Trainee_ID,Employment_ID,Snapshot_Date,Snapshot_Observed_On,Employment_Duration_Months,Current_Salary_LPA,Job_History_Count,Engagement_Score,Attendance_Percent,Assessment_Score,Skill_Gap_Score,Demand_Score,Employment_Type,Industry,Actual_Job_Role,Target_Job_Role,Skills_Text,Attrition_Target,Data_Origin
TRN-SIH26135-000001,EMP-000001,2024-02-01,2024-02-14,0.99,4.24,0,5.01,70.1,66.0,100.0,50.0,Contract,Telecom,Data Analyst,Cybersecurity Associate,accounting communication excel,0,synthetic_longitudinal_derivation
TRN-SIH26135-000002,EMP-000002,2024-03-01,2024-03-29,1.97,4.25,4,5.3,70.2,70.3,100.0,21.57,Full-time,Government Services,Cloud Associate,Software Developer,autocad azure data_analysis,0,synthetic_longitudinal_derivation
TRN-SIH26135-000004,EMP-000004,2024-06-01,2024-06-25,3.94,4.54,5,5.41,69.3,64.6,100.0,45.83,Full-time,Manufacturing,Software Developer,Cybersecurity Associate,excel healthcare_operations python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000005,EMP-000005,2024-08-01,2024-08-08,4.93,5.63,1,5.51,78.6,77.7,65.0,45.0,Full-time,Retail,Sales Executive,Cloud Associate,azure excel react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000006,EMP-000006,2024-04-01,2024-04-24,0.99,4.47,0,6.13,94.1,85.0,100.0,40.59,Full-time,Manufacturing,Cybersecurity Associate,Data Analyst,autocad excel linux,0,synthetic_longitudinal_derivation
TRN-SIH26135-000007,EMP-000007,2024-06-01,2024-06-07,1.97,4.08,0,5.5,66.3,63.9,100.0,52.52,Full-time,Banking & Finance,Support Engineer,Web Developer,accounting aws digital_marketing,0,synthetic_longitudinal_derivation
TRN-SIH26135-000008,EMP-000008,2024-07-01,2024-07-21,2.96,4.86,0,5.47,68.3,76.9,100.0,39.06,Apprenticeship,Logistics,Data Analyst,Data Analyst,azure javascript react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000010,EMP-000009,2024-09-01,2024-09-16,3.94,5.06,0,5.78,78.2,82.4,100.0,23.36,Full-time,Healthcare,Cybersecurity Associate,Web Developer,aws cybersecurity data_analysis,0,synthetic_longitudinal_derivation
TRN-SIH26135-000011,EMP-000010,2024-10-01,2024-10-30,4.93,4.91,0,5.59,81.1,86.4,100.0,36.52,Apprenticeship,Healthcare,Web Developer,Cybersecurity Associate,healthcare_operations javascript sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000012,EMP-000011,2024-07-01,2024-07-16,0.99,5.86,0,6.2,94.5,94.0,100.0,37.18,Contract,Logistics,Account Executive,Healthcare Assistant,aws cybersecurity react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000013,EMP-000012,2024-08-01,2024-08-29,1.97,4.18,0,6.31,84.6,95.3,80.0,29.46,Contract,Education,Data Analyst,Cybersecurity Associate,data_analysis excel networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000015,EMP-000013,2024-10-01,2024-10-25,2.96,5.34,1,6.04,62.2,86.4,100.0,35.23,Full-time,Telecom,Graphic Designer,Software Developer,healthcare_operations javascript machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000016,EMP-000014,2024-12-01,2024-12-08,3.94,5.62,1,5.92,73.6,73.8,100.0,56.72,Full-time,Education,Software Developer,Account Executive,linux power_bi python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000017,EMP-000015,2025-01-01,2025-01-21,4.93,3.96,1,5.51,85.3,87.7,85.0,20.61,Apprenticeship,Education,Graphic Designer,Sales Executive,autocad excel healthcare_operations,0,synthetic_longitudinal_derivation
TRN-SIH26135-000018,EMP-000016,2024-10-01,2024-10-07,0.99,5.22,7,5.73,93.0,82.3,62.75,40.71,Apprenticeship,Government Services,Digital Marketing Executive,Data Analyst,autocad react sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000020,EMP-000018,2025-01-01,2025-01-03,2.96,4.6,2,6.08,70.5,91.1,75.0,40.99,Full-time,Manufacturing,Support Engineer,Technician,excel javascript python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000021,EMP-000019,2025-02-01,2025-02-16,3.94,3.86,0,6.14,79.8,86.3,100.0,37.97,Apprenticeship,IT Services,Sales Executive,Software Developer,autocad machine_learning networking,0,synthetic_longitudinal_derivation
TRN-SIH26135-000023,EMP-000020,2025-04-01,2025-04-14,4.93,4.38,2,6.15,89.2,95.7,80.0,52.29,Full-time,Healthcare,Web Developer,Digital Marketing Executive,data_analysis excel power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000024,EMP-000021,2024-12-01,2024-12-29,0.99,3.8,0,5.24,52.3,63.0,64.18,66.04,Self-employed,Government Services,Healthcare Assistant,Technician,autocad cybersecurity sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000025,EMP-000022,2025-02-01,2025-02-11,1.97,4.75,0,5.48,74.2,79.1,100.0,21.09,Self-employed,Education,Software Developer,Cybersecurity Associate,aws digital_marketing javascript,0,synthetic_longitudinal_derivation
TRN-SIH26135-000026,EMP-000023,2025-03-01,2025-03-27,2.96,3.44,1,4.82,57.4,52.1,100.0,58.82,Full-time,E-commerce,Digital Marketing Executive,Sales Executive,autocad healthcare_operations power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000027,EMP-000024,2025-05-01,2025-05-10,3.94,4.31,0,5.4,74.2,65.6,100.0,21.95,Self-employed,IT Services,Healthcare Assistant,Sales Executive,java linux power_bi,0,synthetic_longitudinal_derivation
TRN-SIH26135-000028,EMP-000025,2025-06-01,2025-06-23,4.93,5.23,2,5.0,75.7,61.5,44.25,41.3,Full-time,Manufacturing,Cybersecurity Associate,Cloud Associate,azure linux sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000029,EMP-000026,2025-03-01,2025-03-09,0.99,5.08,1,6.4,92.2,100.0,65.0,23.58,Full-time,Retail,Support Engineer,Support Engineer,java linux machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000030,EMP-000027,2025-04-01,2025-04-22,1.97,5.07,0,6.25,85.5,89.3,65.0,22.61,Apprenticeship,Banking & Finance,Cybersecurity Associate,Software Developer,autocad communication java,0,synthetic_longitudinal_derivation
TRN-SIH26135-000031,EMP-000028,2025-06-01,2025-06-05,2.96,5.54,4,6.15,88.7,76.9,75.0,32.68,Apprenticeship,Government Services,Graphic Designer,Technician,accounting excel sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000032,EMP-000029,2025-07-01,2025-07-19,3.94,4.26,2,5.49,83.0,71.8,100.0,31.48,Part-time,E-commerce,Graphic Designer,Support Engineer,digital_marketing excel javascript,0,synthetic_longitudinal_derivation
TRN-SIH26135-000033,EMP-000030,2025-09-01,2025-09-01,4.93,3.84,0,5.05,58.0,77.2,36.44,43.36,Contract,IT Services,Support Engineer,Software Developer,java networking python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000034,EMP-000031,2025-05-01,2025-05-18,0.99,3.48,3,5.68,88.2,79.1,100.0,50.5,Full-time,Banking & Finance,Cybersecurity Associate,Cybersecurity Associate,autocad digital_marketing sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000035,EMP-000032,2025-07-01,2025-07-01,1.97,5.04,1,6.21,85.2,94.1,75.0,43.45,Full-time,Banking & Finance,Data Analyst,Cloud Associate,communication cybersecurity linux,0,synthetic_longitudinal_derivation
TRN-SIH26135-000036,EMP-000033,2025-08-01,2025-08-14,2.96,4.36,2,6.16,99.9,79.3,100.0,57.94,Full-time,Logistics,Account Executive,Support Engineer,digital_marketing java machine_learning,0,synthetic_longitudinal_derivation
TRN-SIH26135-000037,EMP-000034,2025-09-01,2025-09-27,3.94,5.21,1,6.1,82.8,80.3,100.0,68.18,Part-time,IT Services,Cybersecurity Associate,Cloud Associate,java machine_learning sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000039,EMP-000036,2025-07-01,2025-07-27,0.99,5.2,3,5.6,100.0,77.6,55.0,53.17,Contract,E-commerce,Technician,Technician,autocad data_analysis linux,0,synthetic_longitudinal_derivation
TRN-SIH26135-000040,EMP-000037,2025-09-01,2025-09-09,1.97,5.25,2,5.47,82.6,72.1,100.0,42.42,Contract,Retail,Cybersecurity Associate,Technician,healthcare_operations java react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000041,EMP-000038,2025-10-01,2025-10-23,2.96,3.95,0,5.11,57.8,60.4,81.29,35.26,Full-time,Healthcare,Technician,Graphic Designer,aws excel python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000042,EMP-000039,2025-12-01,2025-12-06,3.94,5.06,0,5.45,81.8,61.2,100.0,21.77,Self-employed,Telecom,Healthcare Assistant,Data Analyst,healthcare_operations linux react,0,synthetic_longitudinal_derivation
TRN-SIH26135-000044,EMP-000040,2026-02-01,2026-02-01,4.93,4.19,0,5.41,100.0,65.3,50.87,50.72,Full-time,IT Services,Graphic Designer,Account Executive,accounting power_bi python,0,synthetic_longitudinal_derivation
TRN-SIH26135-000045,EMP-000041,2025-10-01,2025-10-18,0.99,5.0,7,5.75,76.6,77.0,100.0,24.59,Part-time,E-commerce,Software Developer,Web Developer,azure digital_marketing excel,0,synthetic_longitudinal_derivation
TRN-SIH26135-000046,EMP-000042,2025-12-01,2025-12-01,1.97,5.02,1,6.44,92.0,91.0,100.0,26.09,Full-time,Retail,Healthcare Assistant,Technician,accounting data_analysis linux,0,synthetic_longitudinal_derivation
TRN-SIH26135-000048,EMP-000043,2026-01-01,2026-01-27,2.96,5.6,2,5.36,66.5,73.2,49.09,66.38,Full-time,Manufacturing,Software Developer,Software Developer,communication java sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000049,EMP-000044,2026-03-01,2026-03-12,3.94,5.19,2,5.81,83.9,81.3,48.93,44.0,Apprenticeship,Government Services,Cloud Associate,Web Developer,python react sql,0,synthetic_longitudinal_derivation
TRN-SIH26135-000050,EMP-000045,2026-04-01,2026-04-25,4.93,5.46,5,5.8,79.7,95.3,100.0,67.21,Contract,Logistics,Healthcare Assistant,Software Developer,healthcare_operations linux sales,0,synthetic_longitudinal_derivation
TRN-SIH26135-000052,EMP-000046,2026-01-01,2026-01-22,0.99,4.12,3,6.03,68.4,97.8,61.6,29.55,Contract,Retail,Graphic Designer,Data Analyst,cybersecurity javascript sql,0,synthetic_longitudinal_derivation
