Employment_ID,Trainee_ID,Actual_Job_Role,Industry,Employment_Type,Start_Date,End_Date,Termination_Observed,Data_Origin
EMP-000001,TRN-SIH26135-000001,Data Analyst,Telecom,Contract,2024-01-15,,False,synthetic_derived
EMP-000002,TRN-SIH26135-000002,Cloud Associate,Government Services,Full-time,2024-01-29,,False,synthetic_derived
EMP-000003,TRN-SIH26135-000003,Web Developer,Logistics,Full-time,2024-02-12,2024-03-15,True,synthetic_derived
EMP-000004,TRN-SIH26135-000004,Software Developer,Manufacturing,Full-time,2024-02-26,,False,synthetic_derived
EMP-000005,TRN-SIH26135-000005,Sales Executive,Retail,Full-time,2024-03-11,,False,synthetic_derived
EMP-000006,TRN-SIH26135-000006,Cybersecurity Associate,Manufacturing,Full-time,2024-03-25,,False,synthetic_derived
EMP-000007,TRN-SIH26135-000007,Support Engineer,Banking & Finance,Full-time,2024-04-08,,False,synthetic_derived
EMP-000008,TRN-SIH26135-000008,Data Analyst,Logistics,Apprenticeship,2024-04-22,,False,synthetic_derived
EMP-000009,TRN-SIH26135-000010,Cybersecurity Associate,Healthcare,Full-time,2024-05-19,,False,synthetic_derived
EMP-000010,TRN-SIH26135-000011,Web Developer,Healthcare,Apprenticeship,2024-06-02,,False,synthetic_derived
EMP-000011,TRN-SIH26135-000012,Account Executive,Logistics,Contract,2024-06-16,,False,synthetic_derived
EMP-000012,TRN-SIH26135-000013,Data Analyst,Education,Contract,2024-06-30,,False,synthetic_derived
EMP-000013,TRN-SIH26135-000015,Graphic Designer,Telecom,Full-time,2024-07-27,,False,synthetic_derived
EMP-000014,TRN-SIH26135-000016,Software Developer,Education,Full-time,2024-08-10,,False,synthetic_derived
EMP-000015,TRN-SIH26135-000017,Graphic Designer,Education,Apprenticeship,2024-08-24,,False,synthetic_derived
EMP-000016,TRN-SIH26135-000018,Digital Marketing Executive,Government Services,Apprenticeship,2024-09-07,,False,synthetic_derived
EMP-000017,TRN-SIH26135-000019,Sales Executive,Healthcare,Full-time,2024-09-21,2024-11-06,True,synthetic_derived
EMP-000018,TRN-SIH26135-000020,Support Engineer,Manufacturing,Full-time,2024-10-05,,False,synthetic_derived
EMP-000019,TRN-SIH26135-000021,Sales Executive,IT Services,Apprenticeship,2024-10-19,,False,synthetic_derived
EMP-000020,TRN-SIH26135-000023,Web Developer,Healthcare,Full-time,2024-11-15,,False,synthetic_derived
EMP-000021,TRN-SIH26135-000024,Healthcare Assistant,Government Services,Self-employed,2024-11-29,,False,synthetic_derived
EMP-000022,TRN-SIH26135-000025,Software Developer,Education,Self-employed,2024-12-13,,False,synthetic_derived
EMP-000023,TRN-SIH26135-000026,Digital Marketing Executive,E-commerce,Full-time,2024-12-27,,False,synthetic_derived
EMP-000024,TRN-SIH26135-000027,Healthcare Assistant,IT Services,Self-employed,2025-01-10,,False,synthetic_derived
EMP-000025,TRN-SIH26135-000028,Cybersecurity Associate,Manufacturing,Full-time,2025-01-24,,False,synthetic_derived
EMP-000026,TRN-SIH26135-000029,Support Engineer,Retail,Full-time,2025-02-07,,False,synthetic_derived
EMP-000027,TRN-SIH26135-000030,Cybersecurity Associate,Banking & Finance,Apprenticeship,2025-02-21,,False,synthetic_derived
EMP-000028,TRN-SIH26135-000031,Graphic Designer,Government Services,Apprenticeship,2025-03-07,,False,synthetic_derived
EMP-000029,TRN-SIH26135-000032,Graphic Designer,E-commerce,Part-time,2025-03-21,,False,synthetic_derived
EMP-000030,TRN-SIH26135-000033,Support Engineer,IT Services,Contract,2025-04-04,,False,synthetic_derived
EMP-000031,TRN-SIH26135-000034,Cybersecurity Associate,Banking & Finance,Full-time,2025-04-18,,False,synthetic_derived
EMP-000032,TRN-SIH26135-000035,Data Analyst,Banking & Finance,Full-time,2025-05-02,,False,synthetic_derived
EMP-000033,TRN-SIH26135-000036,Account Executive,Logistics,Full-time,2025-05-16,,False,synthetic_derived
EMP-000034,TRN-SIH26135-000037,Cybersecurity Associate,IT Services,Part-time,2025-05-30,,False,synthetic_derived
EMP-000035,TRN-SIH26135-000038,Graphic Designer,E-commerce,Part-time,2025-06-13,2025-08-16,True,synthetic_derived
EMP-000036,TRN-SIH26135-000039,Technician,E-commerce,Contract,2025-06-27,,False,synthetic_derived
EMP-000037,TRN-SIH26135-000040,Cybersecurity Associate,Retail,Contract,2025-07-11,,False,synthetic_derived
EMP-000038,TRN-SIH26135-000041,Technician,Healthcare,Full-time,2025-07-25,,False,synthetic_derived
EMP-000039,TRN-SIH26135-000042,Healthcare Assistant,Telecom,Self-employed,2025-08-08,,False,synthetic_derived
EMP-000040,TRN-SIH26135-000044,Graphic Designer,IT Services,Full-time,2025-09-04,,False,synthetic_derived
EMP-000041,TRN-SIH26135-000045,Software Developer,E-commerce,Part-time,2025-09-18,,False,synthetic_derived
EMP-000042,TRN-SIH26135-000046,Healthcare Assistant,Retail,Full-time,2025-10-02,,False,synthetic_derived
EMP-000043,TRN-SIH26135-000048,Software Developer,Manufacturing,Full-time,2025-10-29,,False,synthetic_derived
EMP-000044,TRN-SIH26135-000049,Cloud Associate,Government Services,Apprenticeship,2025-11-12,,False,synthetic_derived
EMP-000045,TRN-SIH26135-000050,Healthcare Assistant,Logistics,Contract,2025-11-26,,False,synthetic_derived
EMP-000046,TRN-SIH26135-000052,Graphic Designer,Retail,Contract,2025-12-23,,False,synthetic_derived
EMP-000047,TRN-SIH26135-000055,Sales Executive,Logistics,Part-time,2026-02-01,,False,synthetic_derived
EMP-000048,TRN-SIH26135-000056,Support Engineer,E-commerce,Full-time,2026-02-15,,False,synthetic_derived
EMP-000049,TRN-SIH26135-000057,Healthcare Assistant,Telecom,Full-time,2024-03-11,,False,synthetic_derived
