Target_Job_Role,State,District,Snapshot_Date,Active_Postings,Candidate_Count,Demand_Score,Data_Origin
Account Executive,West Bengal,Kolkata,2024-01-01,18,25,41.86,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-02-01,23,27,46.0,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-03-01,28,29,49.12,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-04-01,33,31,51.56,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-05-01,38,33,53.52,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-06-01,43,35,55.13,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-07-01,48,37,56.47,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-08-01,53,39,57.61,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-09-01,58,41,58.59,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-10-01,63,43,59.43,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-11-01,68,45,60.18,synthetic_derived
Account Executive,West Bengal,Kolkata,2024-12-01,73,47,60.83,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-01-01,78,49,61.42,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-02-01,18,51,26.09,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-03-01,23,53,30.26,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-04-01,28,55,33.73,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-05-01,33,57,36.67,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-06-01,38,59,39.18,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-07-01,43,61,41.35,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-08-01,48,63,43.24,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-09-01,53,65,44.92,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-10-01,58,67,46.4,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-11-01,63,69,47.73,synthetic_derived
Account Executive,West Bengal,Kolkata,2025-12-01,68,71,48.92,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-01-01,73,73,50.0,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-02-01,78,75,50.98,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-03-01,18,77,18.95,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-04-01,23,79,22.55,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-05-01,28,81,25.69,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-06-01,33,83,28.45,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-07-01,38,85,30.89,synthetic_derived
Account Executive,West Bengal,Kolkata,2026-08-01,43,87,33.08,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-01-01,21,36,36.84,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-02-01,26,38,40.62,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-03-01,31,40,43.66,synthetic_derived
Account Executive,Kerala,Kozhikode,2024-04-01,36,42,46.15,synthetic_derived
