Trainee_ID,Event_Date,Application_Count,Interview_Count,Data_Origin
TRN-SIH26135-000001,2024-01-08,11,1,illustrative_source
TRN-SIH26135-000002,2024-01-21,12,2,illustrative_source
TRN-SIH26135-000003,2024-02-03,16,6,illustrative_source
TRN-SIH26135-000004,2024-02-16,13,1,illustrative_source
TRN-SIH26135-000005,2024-02-29,18,3,illustrative_source
TRN-SIH26135-000006,2024-03-13,11,4,illustrative_source
TRN-SIH26135-000007,2024-03-26,8,2,illustrative_source
TRN-SIH26135-000008,2024-04-08,11,2,illustrative_source
TRN-SIH26135-000009,2024-04-21,14,3,illustrative_source
TRN-SIH26135-000010,2024-05-04,10,4,illustrative_source
TRN-SIH26135-000011,2024-05-17,13,1,illustrative_source
TRN-SIH26135-000012,2024-05-30,10,2,illustrative_source
TRN-SIH26135-000013,2024-06-12,13,1,illustrative_source
TRN-SIH26135-000014,2024-06-25,5,1,illustrative_source
TRN-SIH26135-000015,2024-07-08,8,2,illustrative_source
TRN-SIH26135-000016,2024-07-21,9,4,illustrative_source
TRN-SIH26135-000017,2024-08-03,10,3,illustrative_source
TRN-SIH26135-000018,2024-08-16,17,2,illustrative_source
TRN-SIH26135-000019,2024-08-29,11,1,illustrative_source
TRN-SIH26135-000020,2024-09-11,11,2,illustrative_source
TRN-SIH26135-000021,2024-09-24,10,1,illustrative_source
TRN-SIH26135-000022,2024-10-07,13,3,illustrative_source
TRN-SIH26135-000023,2024-10-20,11,0,illustrative_source
TRN-SIH26135-000024,2024-11-02,14,3,illustrative_source
TRN-SIH26135-000025,2024-11-15,14,4,illustrative_source
TRN-SIH26135-000026,2024-11-28,10,3,illustrative_source
TRN-SIH26135-000027,2024-12-11,14,3,illustrative_source
TRN-SIH26135-000028,2024-12-24,17,2,illustrative_source
TRN-SIH26135-000029,2025-01-06,10,1,illustrative_source
TRN-SIH26135-000030,2025-01-19,13,2,illustrative_source
TRN-SIH26135-000031,2025-02-01,8,1,illustrative_source
TRN-SIH26135-000032,2025-02-14,15,4,illustrative_source
TRN-SIH26135-000033,2025-02-27,7,2,illustrative_source
TRN-SIH26135-000034,2025-03-12,15,2,illustrative_source
TRN-SIH26135-000035,2025-03-25,15,1,illustrative_source
TRN-SIH26135-000036,2025-04-07,10,3,illustrative_source
TRN-SIH26135-000037,2025-04-20,10,6,illustrative_source
TRN-SIH26135-000038,2025-05-03,13,5,illustrative_source
TRN-SIH26135-000039,2025-05-16,5,1,illustrative_source
TRN-SIH26135-000040,2025-05-29,9,1,illustrative_source
TRN-SIH26135-000041,2025-06-11,14,6,illustrative_source
TRN-SIH26135-000042,2025-06-24,13,3,illustrative_source
TRN-SIH26135-000043,2025-07-07,7,3,illustrative_source
TRN-SIH26135-000044,2025-07-20,11,6,illustrative_source
TRN-SIH26135-000045,2025-08-02,10,3,illustrative_source
TRN-SIH26135-000046,2025-08-15,10,3,illustrative_source
TRN-SIH26135-000047,2025-08-28,7,2,illustrative_source
TRN-SIH26135-000048,2025-09-10,16,3,illustrative_source
TRN-SIH26135-000049,2025-09-23,11,3,illustrative_source
TRN-SIH26135-000050,2025-10-06,11,6,illustrative_source
TRN-SIH26135-000051,2025-10-19,13,1,illustrative_source
TRN-SIH26135-000052,2025-11-01,15,3,illustrative_source
TRN-SIH26135-000053,2025-11-14,16,4,illustrative_source
TRN-SIH26135-000054,2025-11-27,6,1,illustrative_source
TRN-SIH26135-000055,2025-12-10,16,3,illustrative_source
TRN-SIH26135-000056,2025-12-23,10,3,illustrative_source
TRN-SIH26135-000057,2024-01-16,7,1,illustrative_source
TRN-SIH26135-000058,2024-01-29,11,1,illustrative_source
TRN-SIH26135-000059,2024-02-11,11,2,illustrative_source
TRN-SIH26135-000060,2024-02-24,7,2,illustrative_source
TRN-SIH26135-000061,2024-03-08,15,0,illustrative_source
TRN-SIH26135-000062,2024-03-21,14,2,illustrative_source
TRN-SIH26135-000063,2024-04-03,10,3,illustrative_source
TRN-SIH26135-000064,2024-04-16,9,0,illustrative_source
TRN-SIH26135-000065,2024-04-29,9,4,illustrative_source
TRN-SIH26135-000066,2024-05-12,10,3,illustrative_source
TRN-SIH26135-000067,2024-05-25,9,1,illustrative_source
TRN-SIH26135-000068,2024-06-07,13,3,illustrative_source
TRN-SIH26135-000069,2024-06-20,8,2,illustrative_source
TRN-SIH26135-000070,2024-07-03,6,0,illustrative_source
TRN-SIH26135-000071,2024-07-16,14,2,illustrative_source
TRN-SIH26135-000072,2024-07-29,9,3,illustrative_source
TRN-SIH26135-000073,2024-08-11,12,0,illustrative_source
TRN-SIH26135-000074,2024-08-24,9,3,illustrative_source
TRN-SIH26135-000075,2024-09-06,15,4,illustrative_source
