Trainee_ID,Course,Training_Provider,Training_Duration_Weeks,Attendance_Percent,Assessment_Score,Certification,Internship,Previous_Experience_Years,Target_Job_Role,Completion_Date,Training_Start_Date,Training_Performance,Data_Origin,State,District,Education_Level,Rural_Urban,Skill_Gap_Score,Missing_Skill_Count,Skill_Coverage_Percent,Snapshot_Date,Demand_Score,Skills_Text,Placement_Target
TRN-SIH26135-000001,Cybersecurity,TechSkill Academy,8,70.1,66.0,Yes,Yes,0.7,Cybersecurity Associate,2024-01-01,2023-11-06,67.84,derived_training_snapshot,West Bengal,Kolkata,Graduate,Rural,100.0,3,0.0,2024-01-01,47.76,accounting communication excel,1
TRN-SIH26135-000002,Mobile App Development,Pragati Learning Hub,12,70.2,70.3,Yes,No,4.0,Software Developer,2024-01-14,2023-10-22,70.25,derived_training_snapshot,Kerala,Kozhikode,Diploma,Rural,100.0,3,0.0,2024-01-01,50.33,autocad azure data_analysis,1
TRN-SIH26135-000003,Cloud Computing,Udaan Skills,12,93.3,74.2,Yes,No,1.3,Cloud Associate,2024-01-27,2023-11-04,82.8,derived_training_snapshot,Rajasthan,Udaipur,ITI,Urban,75.36,2,33.33,2024-01-01,37.35,autocad azure javascript,1
TRN-SIH26135-000004,Cybersecurity,TechSkill Academy,6,69.3,64.6,Yes,No,5.5,Cybersecurity Associate,2024-02-09,2023-12-29,66.72,derived_training_snapshot,Karnataka,Hubballi,Diploma,Rural,100.0,3,0.0,2024-02-01,39.66,excel healthcare_operations python,1
TRN-SIH26135-000005,Cloud Computing,NextGen Academy,24,78.6,77.7,Yes,Yes,1.7,Cloud Associate,2024-02-22,2023-09-07,78.11,derived_training_snapshot,Karnataka,Mysuru,10th,Urban,65.0,2,33.33,2024-02-01,35.59,azure excel react,1
TRN-SIH26135-000006,Data Analytics,SkillForge Institute,8,94.1,85.0,No,Yes,0.3,Data Analyst,2024-03-06,2024-01-10,89.09,derived_training_snapshot,Punjab,Jalandhar,Diploma,Rural,100.0,3,0.0,2024-03-01,39.26,autocad excel linux,1
TRN-SIH26135-000007,Web Development,National Training Network,6,66.3,63.9,No,No,0.1,Web Developer,2024-03-19,2024-02-06,64.98,derived_training_snapshot,West Bengal,Howrah,10th,Rural,100.0,3,0.0,2024-03-01,49.15,accounting aws digital_marketing,1
TRN-SIH26135-000008,Data Analytics,TechSkill Academy,12,68.3,76.9,No,No,0.5,Data Analyst,2024-04-01,2024-01-08,73.03,derived_training_snapshot,Uttar Pradesh,Kanpur,12th,Rural,100.0,3,0.0,2024-04-01,69.44,azure javascript react,1
TRN-SIH26135-000009,Cloud Computing,Pragati Learning Hub,12,68.6,53.6,Yes,No,0.9,Cloud Associate,2024-04-14,2024-01-21,60.35,derived_training_snapshot,Maharashtra,Mumbai,Diploma,Rural,100.0,3,0.0,2024-04-01,65.31,communication cybersecurity python,0
TRN-SIH26135-000010,Web Development,NSDC Partner Hub,16,78.2,82.4,No,Yes,0.6,Web Developer,2024-04-27,2024-01-06,80.51,derived_training_snapshot,West Bengal,Siliguri,12th,Urban,100.0,3,0.0,2024-04-01,43.11,aws cybersecurity data_analysis,1
TRN-SIH26135-000011,Cybersecurity,Pragati Learning Hub,24,81.1,86.4,No,Yes,0.7,Cybersecurity Associate,2024-05-10,2023-11-24,84.02,derived_training_snapshot,Gujarat,Ahmedabad,Postgraduate,Rural,100.0,3,0.0,2024-05-01,56.55,healthcare_operations javascript sql,1
TRN-SIH26135-000012,Healthcare Assistant,Digital India Centre,20,94.5,94.0,Yes,No,0.4,Healthcare Assistant,2024-05-23,2024-01-04,94.22,derived_training_snapshot,Bihar,Gaya,Diploma,Urban,100.0,3,0.0,2024-05-01,33.8,aws cybersecurity react,1
TRN-SIH26135-000013,Cybersecurity,National Training Network,16,84.6,95.3,Yes,No,0.9,Cybersecurity Associate,2024-06-05,2024-02-14,90.48,derived_training_snapshot,Uttar Pradesh,Agra,12th,Rural,80.0,2,33.33,2024-06-01,24.35,data_analysis excel networking,1
TRN-SIH26135-000014,Healthcare Assistant,NSDC Partner Hub,8,58.8,51.1,Yes,No,1.9,Healthcare Assistant,2024-06-18,2024-04-23,54.57,derived_training_snapshot,Kerala,Kochi,Diploma,Urban,73.69,2,33.33,2024-06-01,67.82,accounting communication cybersecurity,0
TRN-SIH26135-000015,Mobile App Development,Udaan Skills,24,62.2,86.4,Yes,Yes,1.3,Software Developer,2024-07-01,2024-01-15,75.51,derived_training_snapshot,Uttar Pradesh,Varanasi,10th,Rural,100.0,3,0.0,2024-07-01,61.36,healthcare_operations javascript machine_learning,1
TRN-SIH26135-000016,Accounting & GST,SkillForge Institute,24,73.6,73.8,Yes,Yes,1.8,Account Executive,2024-07-14,2024-01-28,73.71,derived_training_snapshot,Kerala,Kozhikode,Graduate,Urban,100.0,3,0.0,2024-07-01,51.52,linux power_bi python,1
TRN-SIH26135-000017,Retail Operations,NSDC Partner Hub,12,85.3,87.7,No,Yes,1.7,Sales Executive,2024-07-27,2024-05-04,86.62,derived_training_snapshot,Gujarat,Ahmedabad,10th,Rural,85.0,2,33.33,2024-07-01,40.26,autocad excel healthcare_operations,1
TRN-SIH26135-000018,Machine Learning,Pragati Learning Hub,8,93.0,82.3,No,No,7.9,Data Analyst,2024-08-09,2024-06-14,87.12,derived_training_snapshot,West Bengal,Siliguri,12th,Rural,62.75,2,33.33,2024-08-01,36.36,autocad react sql,1
TRN-SIH26135-000019,Digital Marketing,Empower Skills Institute,24,73.3,71.0,Yes,Yes,2.4,Digital Marketing Executive,2024-08-22,2024-03-07,72.03,derived_training_snapshot,Punjab,Amritsar,Graduate,Rural,100.0,3,0.0,2024-08-01,58.1,cybersecurity healthcare_operations sales,1
TRN-SIH26135-000020,Electrical Technician,Pragati Learning Hub,8,70.5,91.1,No,No,2.4,Technician,2024-09-04,2024-07-10,81.83,derived_training_snapshot,Karnataka,Mangaluru,10th,Rural,75.0,2,33.33,2024-09-01,34.59,excel javascript python,1
TRN-SIH26135-000021,Advanced Java Development,NextGen Academy,8,79.8,86.3,Yes,Yes,0.9,Software Developer,2024-09-17,2024-07-23,83.38,derived_training_snapshot,Gujarat,Surat,Graduate,Rural,100.0,3,0.0,2024-09-01,28.46,autocad machine_learning networking,1
TRN-SIH26135-000022,Advanced Java Development,NSDC Partner Hub,16,79.6,59.7,No,Yes,0.2,Software Developer,2024-09-30,2024-06-10,68.66,derived_training_snapshot,Tamil Nadu,Chennai,12th,Rural,100.0,3,0.0,2024-09-01,27.74,aws cybersecurity excel,0
TRN-SIH26135-000023,Digital Marketing,Digital India Centre,12,89.2,95.7,Yes,Yes,2.8,Digital Marketing Executive,2024-10-13,2024-07-21,92.78,derived_training_snapshot,Maharashtra,Mumbai,Graduate,Rural,80.0,2,33.33,2024-10-01,45.05,data_analysis excel power_bi,1
TRN-SIH26135-000024,Electrical Technician,Digital India Centre,16,52.3,63.0,No,No,0.3,Technician,2024-10-26,2024-07-06,58.19,derived_training_snapshot,Bihar,Patna,Diploma,Urban,64.18,2,33.33,2024-10-01,65.22,autocad cybersecurity sql,1
TRN-SIH26135-000025,Cybersecurity,SkillForge Institute,12,74.2,79.1,Yes,Yes,0.4,Cybersecurity Associate,2024-11-08,2024-08-16,76.9,derived_training_snapshot,Kerala,Thiruvananthapuram,Postgraduate,Urban,100.0,3,0.0,2024-11-01,44.77,aws digital_marketing javascript,1
TRN-SIH26135-000026,Retail Operations,Pragati Learning Hub,4,57.4,52.1,Yes,No,1.6,Sales Executive,2024-11-21,2024-10-24,54.48,derived_training_snapshot,Rajasthan,Kota,Postgraduate,Rural,100.0,3,0.0,2024-11-01,54.95,autocad healthcare_operations power_bi,1
TRN-SIH26135-000027,Retail Operations,National Training Network,12,74.2,65.6,Yes,Yes,0.7,Sales Executive,2024-12-04,2024-09-11,69.47,derived_training_snapshot,Tamil Nadu,Salem,ITI,Urban,100.0,3,0.0,2024-12-01,51.79,java linux power_bi,1
TRN-SIH26135-000028,Cloud Computing,NextGen Academy,16,75.7,61.5,Yes,Yes,2.5,Cloud Associate,2024-12-17,2024-08-27,67.89,derived_training_snapshot,Kerala,Kochi,10th,Urban,44.25,1,66.67,2024-12-01,33.96,azure linux sales,1
TRN-SIH26135-000029,Networking,Pragati Learning Hub,6,92.2,100.0,Yes,Yes,1.0,Support Engineer,2024-12-30,2024-11-18,96.49,derived_training_snapshot,Gujarat,Vadodara,10th,Rural,65.0,2,33.33,2024-12-01,50.0,java linux machine_learning,1
