Employment_ID,Effective_Date,Salary_LPA,Data_Origin
EMP-000001,2024-01-15,4.24,synthetic_derived
EMP-000001,2024-07-16,4.37,synthetic_derived
EMP-000002,2024-01-29,4.25,synthetic_derived
EMP-000002,2024-07-30,4.39,synthetic_derived
EMP-000003,2024-02-12,4.75,synthetic_derived
EMP-000004,2024-02-26,4.54,synthetic_derived
EMP-000004,2024-08-27,4.68,synthetic_derived
EMP-000005,2024-03-11,5.63,synthetic_derived
EMP-000005,2024-09-10,5.85,synthetic_derived
EMP-000006,2024-03-25,4.47,synthetic_derived
EMP-000006,2024-09-24,4.63,synthetic_derived
EMP-000007,2024-04-08,4.08,synthetic_derived
EMP-000007,2024-10-08,4.21,synthetic_derived
EMP-000008,2024-04-22,4.86,synthetic_derived
EMP-000008,2024-10-22,5.03,synthetic_derived
EMP-000009,2024-05-19,5.06,synthetic_derived
EMP-000009,2024-11-18,5.24,synthetic_derived
EMP-000010,2024-06-02,4.91,synthetic_derived
EMP-000010,2024-12-02,5.09,synthetic_derived
EMP-000011,2024-06-16,5.86,synthetic_derived
EMP-000011,2024-12-16,6.09,synthetic_derived
EMP-000012,2024-06-30,4.18,synthetic_derived
EMP-000012,2024-12-30,4.35,synthetic_derived
EMP-000013,2024-07-27,5.34,synthetic_derived
EMP-000013,2025-01-26,5.54,synthetic_derived
EMP-000014,2024-08-10,5.62,synthetic_derived
EMP-000014,2025-02-09,5.81,synthetic_derived
EMP-000015,2024-08-24,3.96,synthetic_derived
EMP-000015,2025-02-23,4.12,synthetic_derived
EMP-000016,2024-09-07,5.22,synthetic_derived
EMP-000016,2025-03-09,5.43,synthetic_derived
EMP-000017,2024-09-21,5.37,synthetic_derived
EMP-000018,2024-10-05,4.6,synthetic_derived
EMP-000018,2025-04-06,4.79,synthetic_derived
EMP-000019,2024-10-19,3.86,synthetic_derived
EMP-000019,2025-04-20,4.0,synthetic_derived
EMP-000020,2024-11-15,4.38,synthetic_derived
EMP-000020,2025-05-17,4.56,synthetic_derived
EMP-000021,2024-11-29,3.8,synthetic_derived
EMP-000021,2025-05-31,3.94,synthetic_derived
EMP-000022,2024-12-13,4.75,synthetic_derived
EMP-000022,2025-06-14,4.92,synthetic_derived
EMP-000023,2024-12-27,3.44,synthetic_derived
EMP-000023,2025-06-28,3.54,synthetic_derived
EMP-000024,2025-01-10,4.31,synthetic_derived
EMP-000024,2025-07-12,4.45,synthetic_derived
EMP-000025,2025-01-24,5.23,synthetic_derived
EMP-000025,2025-07-26,5.43,synthetic_derived
EMP-000026,2025-02-07,5.08,synthetic_derived
EMP-000026,2025-08-09,5.31,synthetic_derived
EMP-000027,2025-02-21,5.07,synthetic_derived
EMP-000027,2025-08-23,5.29,synthetic_derived
EMP-000028,2025-03-07,5.54,synthetic_derived
EMP-000028,2025-09-06,5.75,synthetic_derived
EMP-000029,2025-03-21,4.26,synthetic_derived
EMP-000029,2025-09-20,4.4,synthetic_derived
EMP-000030,2025-04-04,3.84,synthetic_derived
EMP-000030,2025-10-04,4.01,synthetic_derived
EMP-000031,2025-04-18,3.48,synthetic_derived
EMP-000031,2025-10-18,3.6,synthetic_derived
EMP-000032,2025-05-02,5.04,synthetic_derived
EMP-000032,2025-11-01,5.25,synthetic_derived
EMP-000033,2025-05-16,4.36,synthetic_derived
EMP-000033,2025-11-15,4.51,synthetic_derived
EMP-000034,2025-05-30,5.21,synthetic_derived
EMP-000034,2025-11-29,5.39,synthetic_derived
EMP-000035,2025-06-13,4.37,synthetic_derived
EMP-000036,2025-06-27,5.2,synthetic_derived
EMP-000036,2025-12-27,5.41,synthetic_derived
EMP-000037,2025-07-11,5.25,synthetic_derived
EMP-000037,2026-01-10,5.42,synthetic_derived
EMP-000038,2025-07-25,3.95,synthetic_derived
EMP-000038,2026-01-24,4.08,synthetic_derived
EMP-000039,2025-08-08,5.06,synthetic_derived
EMP-000039,2026-02-07,5.21,synthetic_derived
EMP-000040,2025-09-04,4.19,synthetic_derived
EMP-000040,2026-03-06,4.35,synthetic_derived
EMP-000041,2025-09-18,5.0,synthetic_derived
EMP-000041,2026-03-20,5.17,synthetic_derived
EMP-000042,2025-10-02,5.02,synthetic_derived
EMP-000042,2026-04-03,5.21,synthetic_derived
EMP-000043,2025-10-29,5.6,synthetic_derived
EMP-000043,2026-04-30,5.83,synthetic_derived
EMP-000044,2025-11-12,5.19,synthetic_derived
EMP-000044,2026-05-14,5.41,synthetic_derived
EMP-000045,2025-11-26,5.46,synthetic_derived
EMP-000045,2026-05-28,5.67,synthetic_derived
EMP-000046,2025-12-23,4.12,synthetic_derived
EMP-000046,2026-06-24,4.31,synthetic_derived
EMP-000047,2026-02-01,4.29,synthetic_derived
EMP-000047,2026-08-03,4.45,synthetic_derived
EMP-000048,2026-02-15,4.29,synthetic_derived
EMP-000048,2026-08-17,4.45,synthetic_derived
EMP-000049,2024-03-11,4.69,synthetic_derived
EMP-000049,2024-09-10,4.82,synthetic_derived
EMP-000050,2024-04-07,4.02,synthetic_derived
EMP-000050,2024-10-07,4.14,synthetic_derived
EMP-000051,2024-05-17,5.04,synthetic_derived
EMP-000052,2024-06-13,4.57,synthetic_derived
EMP-000053,2024-07-10,4.49,synthetic_derived
EMP-000053,2025-01-09,4.65,synthetic_derived
EMP-000054,2024-07-24,4.5,synthetic_derived
EMP-000054,2025-01-23,4.67,synthetic_derived
EMP-000055,2024-08-07,4.57,synthetic_derived
EMP-000055,2025-02-06,4.77,synthetic_derived
EMP-000056,2024-08-21,3.7,synthetic_derived
EMP-000057,2024-09-04,4.74,synthetic_derived
EMP-000058,2024-09-18,5.07,synthetic_derived
EMP-000058,2025-03-20,5.26,synthetic_derived
EMP-000059,2024-10-02,5.15,synthetic_derived
EMP-000059,2025-04-03,5.34,synthetic_derived
EMP-000060,2024-10-16,4.84,synthetic_derived
EMP-000061,2024-11-12,5.16,synthetic_derived
EMP-000061,2025-05-14,5.42,synthetic_derived
EMP-000062,2024-11-26,4.58,synthetic_derived
EMP-000062,2025-05-28,4.74,synthetic_derived
EMP-000063,2024-12-10,4.27,synthetic_derived
EMP-000063,2025-06-11,4.44,synthetic_derived
EMP-000064,2024-12-24,4.55,synthetic_derived
EMP-000064,2025-06-25,4.73,synthetic_derived
EMP-000065,2025-01-07,5.0,synthetic_derived
EMP-000065,2025-07-09,5.18,synthetic_derived
EMP-000066,2025-01-21,5.27,synthetic_derived
