Trainee_ID,Target_Job_Role,Skill,Required_Proficiency,Importance_Weight,Effective_From,Data_Origin,Current_Proficiency,Missing_Skill,Proficiency_Deficit,Weighted_Deficit
TRN-SIH26135-000001,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000001,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000001,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,0.0,True,70.0,0.2
TRN-SIH26135-000002,Software Developer,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000002,Software Developer,java,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000002,Software Developer,sql,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000003,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000003,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000003,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,52.8,False,22.2,0.1036
TRN-SIH26135-000004,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000004,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
TRN-SIH26135-000004,Cybersecurity Associate,networking,70,0.2,2024-01-01,synthetic_derived,0.0,True,70.0,0.2
TRN-SIH26135-000005,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000005,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000005,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,75.1,False,0.0,0.0
TRN-SIH26135-000006,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000006,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000006,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000007,Web Developer,javascript,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000007,Web Developer,react,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000007,Web Developer,sql,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000008,Data Analyst,sql,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000008,Data Analyst,python,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000008,Data Analyst,power bi,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000009,Cloud Associate,aws,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000009,Cloud Associate,azure,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000009,Cloud Associate,linux,70,0.25,2024-01-01,synthetic_derived,0.0,True,70.0,0.25
TRN-SIH26135-000010,Web Developer,javascript,80,0.4,2024-01-01,synthetic_derived,0.0,True,80.0,0.4
TRN-SIH26135-000010,Web Developer,react,75,0.35,2024-01-01,synthetic_derived,0.0,True,75.0,0.35
TRN-SIH26135-000010,Web Developer,sql,65,0.25,2024-01-01,synthetic_derived,0.0,True,65.0,0.25
TRN-SIH26135-000011,Cybersecurity Associate,cybersecurity,80,0.5,2024-01-01,synthetic_derived,0.0,True,80.0,0.5
TRN-SIH26135-000011,Cybersecurity Associate,linux,70,0.3,2024-01-01,synthetic_derived,0.0,True,70.0,0.3
