Trainee_ID,Skill,Assessment_Date,Evidence_Source,Proficiency
TRN-SIH26135-000001,accounting,2023-12-18,legacy_skill_assessment,64.0
TRN-SIH26135-000001,communication,2023-12-25,legacy_skill_assessment,71.0
TRN-SIH26135-000001,excel,2023-12-11,legacy_skill_assessment,68.0
TRN-SIH26135-000002,autocad,2023-12-31,legacy_skill_assessment,48.7
TRN-SIH26135-000002,azure,2023-12-24,legacy_skill_assessment,52.7
TRN-SIH26135-000002,data analysis,2024-01-07,legacy_skill_assessment,55.7
TRN-SIH26135-000003,autocad,2024-01-20,legacy_skill_assessment,55.8
TRN-SIH26135-000003,azure,2024-01-06,legacy_skill_assessment,52.8
TRN-SIH26135-000003,javascript,2024-01-13,legacy_skill_assessment,48.8
TRN-SIH26135-000004,excel,2024-01-19,legacy_skill_assessment,66.2
TRN-SIH26135-000004,healthcare operations,2024-01-26,legacy_skill_assessment,62.2
TRN-SIH26135-000004,python,2024-02-02,legacy_skill_assessment,69.2
TRN-SIH26135-000005,azure,2024-02-08,legacy_skill_assessment,75.1
TRN-SIH26135-000005,excel,2024-02-01,legacy_skill_assessment,79.1
TRN-SIH26135-000005,react,2024-02-15,legacy_skill_assessment,82.1
TRN-SIH26135-000006,autocad,2024-02-28,legacy_skill_assessment,80.8
TRN-SIH26135-000006,excel,2024-02-21,legacy_skill_assessment,73.8
TRN-SIH26135-000006,linux,2024-02-14,legacy_skill_assessment,77.8
TRN-SIH26135-000007,accounting,2024-03-12,legacy_skill_assessment,66.9
TRN-SIH26135-000007,aws,2024-03-05,legacy_skill_assessment,59.9
TRN-SIH26135-000007,digital marketing,2024-02-27,legacy_skill_assessment,63.9
TRN-SIH26135-000008,azure,2024-03-25,legacy_skill_assessment,57.9
TRN-SIH26135-000008,javascript,2024-03-18,legacy_skill_assessment,50.9
TRN-SIH26135-000008,react,2024-03-11,legacy_skill_assessment,54.9
TRN-SIH26135-000009,communication,2024-04-07,legacy_skill_assessment,45.6
TRN-SIH26135-000009,cybersecurity,2024-03-31,legacy_skill_assessment,38.6
TRN-SIH26135-000009,python,2024-03-24,legacy_skill_assessment,42.6
TRN-SIH26135-000010,aws,2024-04-13,legacy_skill_assessment,47.3
TRN-SIH26135-000010,cybersecurity,2024-04-20,legacy_skill_assessment,54.3
TRN-SIH26135-000010,data analysis,2024-04-06,legacy_skill_assessment,51.3
TRN-SIH26135-000011,healthcare operations,2024-04-26,legacy_skill_assessment,74.2
TRN-SIH26135-000011,javascript,2024-04-19,legacy_skill_assessment,78.2
TRN-SIH26135-000011,sql,2024-05-03,legacy_skill_assessment,81.2
TRN-SIH26135-000012,aws,2024-05-16,legacy_skill_assessment,80.2
TRN-SIH26135-000012,cybersecurity,2024-05-02,legacy_skill_assessment,77.2
TRN-SIH26135-000012,react,2024-05-09,legacy_skill_assessment,73.2
TRN-SIH26135-000013,data analysis,2024-05-15,legacy_skill_assessment,80.0
TRN-SIH26135-000013,excel,2024-05-29,legacy_skill_assessment,83.0
TRN-SIH26135-000013,networking,2024-05-22,legacy_skill_assessment,76.0
TRN-SIH26135-000014,accounting,2024-06-04,legacy_skill_assessment,54.4
TRN-SIH26135-000014,communication,2024-06-11,legacy_skill_assessment,61.4
TRN-SIH26135-000014,cybersecurity,2024-05-28,legacy_skill_assessment,58.4
TRN-SIH26135-000015,healthcare operations,2024-06-17,legacy_skill_assessment,72.2
TRN-SIH26135-000015,javascript,2024-06-24,legacy_skill_assessment,79.2
TRN-SIH26135-000015,machine learning,2024-06-10,legacy_skill_assessment,76.2
TRN-SIH26135-000016,linux,2024-07-07,legacy_skill_assessment,61.1
TRN-SIH26135-000016,power bi,2024-06-23,legacy_skill_assessment,58.1
TRN-SIH26135-000016,python,2024-06-30,legacy_skill_assessment,54.1
TRN-SIH26135-000017,autocad,2024-07-06,legacy_skill_assessment,81.2
TRN-SIH26135-000017,excel,2024-07-13,legacy_skill_assessment,77.2
TRN-SIH26135-000017,healthcare operations,2024-07-20,legacy_skill_assessment,84.2
TRN-SIH26135-000018,autocad,2024-07-19,legacy_skill_assessment,71.5
TRN-SIH26135-000018,react,2024-07-26,legacy_skill_assessment,67.5
TRN-SIH26135-000018,sql,2024-08-02,legacy_skill_assessment,74.5
TRN-SIH26135-000019,cybersecurity,2024-08-08,legacy_skill_assessment,61.8
TRN-SIH26135-000019,healthcare operations,2024-08-01,legacy_skill_assessment,65.8
TRN-SIH26135-000019,sales,2024-08-15,legacy_skill_assessment,68.8
TRN-SIH26135-000020,excel,2024-08-21,legacy_skill_assessment,72.8
TRN-SIH26135-000020,javascript,2024-08-14,legacy_skill_assessment,76.8
TRN-SIH26135-000020,python,2024-08-28,legacy_skill_assessment,79.8
TRN-SIH26135-000021,autocad,2024-08-27,legacy_skill_assessment,74.1
TRN-SIH26135-000021,machine learning,2024-09-03,legacy_skill_assessment,70.1
TRN-SIH26135-000021,networking,2024-09-10,legacy_skill_assessment,77.1
TRN-SIH26135-000022,aws,2024-09-23,legacy_skill_assessment,68.7
TRN-SIH26135-000022,cybersecurity,2024-09-09,legacy_skill_assessment,65.7
TRN-SIH26135-000022,excel,2024-09-16,legacy_skill_assessment,61.7
TRN-SIH26135-000023,data analysis,2024-09-22,legacy_skill_assessment,95.2
TRN-SIH26135-000023,excel,2024-10-06,legacy_skill_assessment,98.2
