Trainee_ID,Age,Gender,State,District,Rural_Urban,Education_Level,Data_Origin
TRN-SIH26135-000001,34,Female,West Bengal,Kolkata,Rural,Graduate,illustrative_source
TRN-SIH26135-000002,18,Male,Kerala,Kozhikode,Rural,Diploma,illustrative_source
TRN-SIH26135-000003,31,Female,Rajasthan,Udaipur,Urban,ITI,illustrative_source
TRN-SIH26135-000004,27,Male,Karnataka,Hubballi,Rural,Diploma,illustrative_source
TRN-SIH26135-000005,44,Male,Karnataka,Mysuru,Urban,10th,illustrative_source
TRN-SIH26135-000006,32,Male,Punjab,Jalandhar,Rural,Diploma,illustrative_source
TRN-SIH26135-000007,27,Male,West Bengal,Howrah,Rural,10th,illustrative_source
TRN-SIH26135-000008,34,Male,Uttar Pradesh,Kanpur,Rural,12th,illustrative_source
TRN-SIH26135-000009,31,Female,Maharashtra,Mumbai,Rural,Diploma,illustrative_source
TRN-SIH26135-000010,32,Male,West Bengal,Siliguri,Urban,12th,illustrative_source
TRN-SIH26135-000011,31,Female,Gujarat,Ahmedabad,Rural,Postgraduate,illustrative_source
TRN-SIH26135-000012,24,Female,Bihar,Gaya,Urban,Diploma,illustrative_source
TRN-SIH26135-000013,24,Male,Uttar Pradesh,Agra,Rural,12th,illustrative_source
TRN-SIH26135-000014,32,Male,Kerala,Kochi,Urban,Diploma,illustrative_source
TRN-SIH26135-000015,23,Female,Uttar Pradesh,Varanasi,Rural,10th,illustrative_source
TRN-SIH26135-000016,28,Other,Kerala,Kozhikode,Urban,Graduate,illustrative_source
TRN-SIH26135-000017,31,Female,Gujarat,Ahmedabad,Rural,10th,illustrative_source
TRN-SIH26135-000018,23,Male,West Bengal,Siliguri,Rural,12th,illustrative_source
TRN-SIH26135-000019,30,Female,Punjab,Amritsar,Rural,Graduate,illustrative_source
TRN-SIH26135-000020,27,Male,Karnataka,Mangaluru,Rural,10th,illustrative_source
TRN-SIH26135-000021,24,Male,Gujarat,Surat,Rural,Graduate,illustrative_source
TRN-SIH26135-000022,32,Male,Tamil Nadu,Chennai,Rural,12th,illustrative_source
TRN-SIH26135-000023,18,Female,Maharashtra,Mumbai,Rural,Graduate,illustrative_source
TRN-SIH26135-000024,18,Male,Bihar,Patna,Urban,Diploma,illustrative_source
